>アーシアン，ルーベン	Arslan, Ruben C.
アーチャード，デヴィッド	Archard, David
アープ，ブライアン	Earp, Brian
アースティン=カースレイク，アンナ	Arstein-Kerslake, Anna
アイスランド	Iceland
アイデンティティ	identity
アヴェニューQ	Avenue Q
アウグスティヌス	Augustine, St.
アクィナス，トマス	Aquinas, St. Thomas
悪徳	vice
アシュクロフト事件／アシュクロフト対表現の自由連合事件	Ashcroft v. Free Speech Coalition
アセクシュアル／アセクシュアリティ	asexuality / asexual
アダルト産業労働者・アーティスト協会	Adult Industry Laborers and Artists Association
アップル	Apple Inc.
アップル，ケヴィン	Apple, Kevin J.
アップルボーム，ピーター	Applebome, Peter
アドシェイド，マリナ	Adshade, Marina
アナポール，デボラ	Anapol, Deborah
アナルセックス	anal sex
アフターケア	aftercare
アブノーマル	abnormal
アマゾン	Amazon.com, Inc.
アムネスティ・インターナショナル	Amnesty International
アメリカ法曹協会	American Bar Association
アメリカ法律協会	American Law Institute
アヤラ，サライ	Ayala, Saray
アリ，ラミ	Ali, Rami
アリストテレス	Aristotle
アルティメット	Ultimate Frisbee
アレン，ジェレミー	Allen, Jeremy
アレン，マイケル・サッド	Allen, Michael Thad
アンサリ，アジズ	Ansari, Aziz
アンスコム，G.E.M.	Anscombe, G.E.M.
アンダーソン，エリザベス	Anderson, Elizabeth
アンダーソン，エリック	Anderson, Eric
アンダーソン，ガンナー	Andersson, Gunnar
アンダーソン，グレタ	Anderson, Greta
アンダーソン，デヴィッド	Anderson, David
アンダーソン，ミシェル	Anderson, Michelle
アンダーソン，モニカ	Anderson, Monica
アンダーソン，ライアン	Anderson, Ryan
アンチオク大学	Antioch College
イースターブルック，フランク	Easterbrook, Frank
イートン，アン	Eaton, Anne
イエス	Jesus
イエロー・フィーバー	yellow feaver
イグナティエフ，マイケル	Ignatieff, Michael
イッツィン，キャサリン	Itzin, Catherine
イリアッド	Iliad, The
インスタグラム	Instagram
インターセクシュアリティ	intersexuality
インターセクショナリティ	intersectionality
インターネット	internet
ヴァーチャルリアリティ	virtual reality (VR)
ヴァーレー，エリザベス	Varley, Elizabeth
『ヴァイス』	VICE
『ヴァニティーフェア』	Vanity Fair
ヴァンデルヴォート，ルチンダ	Vandervort, Lucinda
ヴィッカーズ，スーザン	Vickers, Susan
ヴェーマス，シモ	Vehmas, Simo
ヴェンカテシュ，スディール・アラディ	Venkatesh, Sudhir Alladi
ヴェンデンベルゲ，ベッツィー	Vandenberghe, Betsy
ヴォー，エリザベス	Veaux, Franklin
ヴォルテール	Voltaire
ヴォロック，ユージン	Volokh, Eugene
ウィークス，ミリアム	Weeks, Miriam
ウィクタリック，クリスタ	Wichterich, Christa
ウィット，エミリー	Witt, Emily
ウィティッグ，モニーク	Wittig, Monique
ウィリアムズ対キング事件	Williams v. King
ウィリス，エレン	Willis, Ellen
ウィルキンソン，エレノア	Wilkinson, Eleanor
ウィンザー，エディス	Windsor, Edith
ウェイツ，マシュー	Waites, Matthew
ウェストハイマー，ルース	Westheimer, Ruth
ウェスト，リンディ	West, Lindy
ウェスト，ロビン	West, Robin
ウェルズ，マーク	Wells, Mark
ウェンデル，スーザン	Wendell, Susan
ウォーカー，レベッカ	Walker, Rebecca
ウォータース，ジョン	Waters, John
『ウォールストリートジャーナル』	Wall Street Journal, The
ウォルフェンデン，ジョン	Wolfenden, John (Sir)
ウッド，アレン	Wood, Allen
ウルストンクラフト，メアリ	Wollstonecraft, Mary
エアーズ，イアン	Ayres, Ian Brown
英国アカデミー	British Academy
エグバート，C. K.	Egbert, C.K.
エジプト	Egypt
エメンス，エリザベス	Emens, Elizabeth
エリクソン，ラーズ	Ericsson, Lars
エルヴィス・ジ・エイリアン	Elvis the Alien
エルヴィンス，フィオナ	Elvines, Fiona
エンバ，クリスティナ	Emba, Christina
オースティン，J. L.	Austin, J.L.
オーバーグフェル事件／オーバーグフェル対ホッジス事件	Obergefell v. Hodges
オーバーマン，ミシェル	Oberman, Michelle
オキシトシン	oxytocin
オコーナー，サンドラ・デイ	O'Connor, Sandra Day
オシア，トム	O'Shea, Tom
貶め／デグレーション／屈辱	degration / degrading
オニール，オノラ	O'Neill, Onora
オバマ，バラク	Obama, Barack
オブライエン，マーク	O'Brien, Mark
オライリー，ビル	O'Reilly, Bill
オルズ，シャロン	Olds, Sharon
オルスゼゥスキ，ダリル・J	Olszewski, Daryl J.
オルポート，フロイド	Allport, Floyd
オルムステッド，グレイシー	Olmstead, Gracey
オレゴン州立大学	Oregon State University
オンライン人身取引対策法	FOSTA (Fight Online Sex Trafficking Act)
カーター，ジミー	Carter, Jimmy
カーター，ロザリン	Carter, Rosalynn
ガードナー，ジョン	Gardner, John 
カーボン、ジューン	Carbonne, June
カーン，ナオミ	Cahn, Naomi
外部説	externalism
格律	maxim
『ガジェット』	Gagdette
カジュアルセックス	casual sex
カス，レオン	Kass, Leon
カッタリ，シャナ	Kattari, Shanna
カッツ，シャナ	Katz, Shanna
カトリック	catholic
カナダ	Canada
家父長制	patriarchy
カメオ	Cameo
カリフィア，パトリック	Califia, Patrick
カリフォルニア大学リバーサイド校	University of California, Riverside
カルプーレスラー、タラ	Culp-Ressler, Tara
カルホーン，ローリー	Calhoun, Laurie
カワート，モニカ	Cowart, Monica
姦通／不倫	adultery
カント，インマニュエル	Kant, Immanuel
カント主義	Kantianism
寛容説	lax view
ギーチ，メアリ・キャサリン	Geach, Mary Catherine
キーナン，ジェームズ	Keenan, James
危害原則	Harm Principle
キトロッサー，ハイジ	Kitrosser, Heidi
キプニス，ローラ	Kipnis, Laura
ギャロップ，シンディー	Gallop, Cindy
キリスト教	
キンキー／キンク	kinky / kink
近親姦	incest
禁欲オンリー教育	abstinence-only education
クィア理論	Queer Theory
クィーン，キャロル	Queen, Carol
グイン事件／州対グイン事件	State v. Guinn
グーグル	Google
クータ，アーロン・E	Koota, Aaron E.
クオモ，アンドリュー	Cuomo, Andrew
クオモ，ミカエラ	Cuomo, Michaela
ククラ，クィル・レベッカ	Kukla, Quill Rebecca
クセノポン	Xenophon
クチネリ，ケン	Cucinelli, Ken
グッドマン，クリスティナ・チェンバーズ	Goodman, Christine Chambers
グティウ，シンジアナ	Gutiu, Sinziana
